mov 0 0 013 13
cmp 1 0 013 013
add 2 10 013 13
sub 2 11 013 13
lea 4 0 13
clr 5 10 # 13
not 5 11 # 13
inc 5 12 # 13
dec 5 13 # 13
jmp 9 10 # 12
bne 9 11 # 12
jsr 9 12 # 12
red 12 0 # 13
prn 13 0 # 013
rts 14 0 # #
stop 15 0 # #
